Alltype	Alltype(non-senior)	Normal	Normal(non-senior)	LumA	LumA(non-senior	LumB	LumB(non-senior)	Basal	Basal(non-senior)	Her2	Her2(non-senior)	ERpos_PRpos_HER2pos	ERpos_PRpos_HER2pos(non-senior)	ERneg_PRpos_HER2pos	ERneg_PRpos_HER2pos(non-senior)	ERpos_PRneg_HER2pos	ERpos_PRneg_HER2pos(non-senior)	ERpos_PRpos_HER2neg	ERpos_PRpos_HER2neg(non-senior)	ERneg_PRneg_HER2pos	ERneg_PRneg_HER2pos(non-senior)	ERpos_PRneg_HER2neg	ERpos_PRneg_HER2neg(non-senior)	ERneg_PRpos_HER2neg	ERneg_PRpos_HER2neg(non-senior)	ERneg_PRneg_HER2neg	ERneg_PRneg_HER2neg(non-senior)
HBS1L	9.57691e-01	9.57691e-01	9.57691e-01	9.57691e-01	9.57691e-01	9.57691e-01	9.61626e-01	9.61626e-01	9.57691e-01	9.57691e-01	9.70515e-01	9.70515e-01	9.57691e-01	9.57691e-01	    NA	    NA	9.61626e-01	9.57691e-01	9.61626e-01	9.57691e-01	9.61626e-01	9.57691e-01	9.57691e-01	9.61626e-01	9.70515e-01	9.70515e-01	9.57691e-01	9.57691e-01
MEMO1P3	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
HLA-K	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
GVINP2	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
RPS10P20	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
HSPA8P1	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
GAPDHP45	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
ANKRD30BP2	9.90314e-01	9.90314e-01	5.84530e-01	9.90314e-01	9.90314e-01	9.90314e-01	9.90314e-01	5.87024e-01	9.90314e-01	9.90314e-01	9.90314e-01	9.90314e-01	9.90314e-01	9.90314e-01	    NA	    NA	5.84530e-01	9.90314e-01	5.87024e-01	9.90314e-01	5.87024e-01	9.90314e-01	9.90314e-01	5.87024e-01	9.90314e-01	9.90314e-01	9.90314e-01	9.90314e-01
RPS20P25	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
KRT18P62	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
OR7E10P	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
SCML2P1	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
RPL5P28	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
RPS27P12	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
PRR13P5	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
IGKV2D-23	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
GPS2	7.75863e-01	7.75863e-01	9.10659e-01	9.98684e-01	9.10659e-01	9.98684e-01	9.98684e-01	9.98684e-01	7.75863e-01	7.75863e-01	9.10659e-01	7.75863e-01	8.87929e-01	9.10659e-01	    NA	    NA	7.75863e-01	9.10659e-01	7.75863e-01	7.75863e-01	7.75863e-01	7.75863e-01	7.75863e-01	9.10659e-01	9.98684e-01	9.98684e-01	7.75863e-01	7.75863e-01
GPS2P1	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
GPS2:GPS2P1	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
